"categoryname","domain","item","nexturl","page","pageType","url"
"Phone Cables","www.alza.co.uk",24,,303,"search","https://www.alza.co.uk/phone-cables/18862088.htm"
"PC Cases","www.alza.co.uk",24,,293,"search","https://www.alza.co.uk/pc-cases/18849057.htm"
"Keyboards","www.alza.co.uk",24,,290,"search","https://www.alza.co.uk/klavesnice/18842899.htm"
"Playstation 4","www.alza.co.uk",24,,287,"search","https://www.alza.co.uk/playstation-4/18854416.htm"
"NAS Smart Data Storage","www.alza.co.uk",24,,284,"search","https://www.alza.co.uk/nas-smart-data-storage/18849630.htm"
"In-ear Headphones","www.alza.co.uk",24,,280,"search","https://www.alza.co.uk/in-ear-headphones/18859903.htm"
"Playstation4 Games","www.alza.co.uk",24,,275,"search","https://www.alza.co.uk/18855147.htm"
"Playstation 4 Games","www.alza.co.uk",24,,275,"search","https://www.alza.co.uk/playstation-4-games/18854417.htm"
"Laptops for Graphic Design","www.alza.co.uk",24,,274,"search","https://www.alza.co.uk/laptops-for-graphic-design/18865612.htm"
"Smartwatches & Wearable Electronics","www.alza.co.uk",24,,270,"search","https://www.alza.co.uk/smartwatches-wearable-electronics/18855068.htm"
"Digital Cameras","www.alza.co.uk",24,,259,"search","https://www.alza.co.uk/digital-cameras/18843129.htm"
"Professional Laptops","www.alza.co.uk",24,,243,"search","https://www.alza.co.uk/professional-laptops/18853299.htm"
"Smartwatches","www.alza.co.uk",24,,240,"search","https://www.alza.co.uk/smart-watches/18854785.htm"
"15"" Laptops","www.alza.co.uk",24,,239,"search","https://www.alza.co.uk/15-laptops/18865419.htm"
"Cameras for beginners","www.alza.co.uk",24,,237,"search","https://www.alza.co.uk/cameras-for-beginners/18864094.htm"
"Fitness Trackers","www.alza.co.uk",24,,232,"search","https://www.alza.co.uk/fitness-trackers/18864574.htm"
"Headphone Accessories","www.alza.co.uk",24,,231,"search","https://www.alza.co.uk/headphone-accessories/18859906.htm"
"SSD Drives","www.alza.co.uk",24,,227,"search","https://www.alza.co.uk/ssd-drives/18845887.htm"
"Lenovo Laptops","www.alza.co.uk",24,,226,"search","https://www.alza.co.uk/lenovo-laptops/18865374.htm"
"PC Power Supplies","www.alza.co.uk",24,,221,"search","https://www.alza.co.uk/pc-power-supplies/18849164.htm"
"Basic Home and Office Laptops Lenovo","www.alza.co.uk",24,,220,"search","https://www.alza.co.uk/home-office-laptops/lenovo/18843464-v1776.htm"
"Laptops with Windows 10 Pro","www.alza.co.uk",24,,217,"search","https://www.alza.co.uk/laptops-with-windows-10-pro/18865728.htm"
"Professional Laptops Lenovo","www.alza.co.uk",24,,217,"search","https://www.alza.co.uk/professional-laptops/lenovo/18853299-v1776.htm"
"Laptops with Windows","www.alza.co.uk",24,,208,"search","https://www.alza.co.uk/laptops-with-windows/18865546.htm"
"Work Laptops by Series","www.alza.co.uk",24,,206,"search","https://www.alza.co.uk/work-laptops-by-series/18866156.htm"
"Television Mounts & Stands","www.alza.co.uk",24,,206,"search","https://www.alza.co.uk/tv/accessories/holders/18849626.htm"
"Server Accessories","www.alza.co.uk",24,,204,"search","https://www.alza.co.uk/server-accessories/18867108.htm"
"Notebook Adapters","www.alza.co.uk",24,,191,"search","https://www.alza.co.uk/zdroje/podle-typu/adaptery-k-notebookum/18849198.htm"
"Tablets","www.alza.co.uk",24,,191,"search","https://www.alza.co.uk/tablets/18852388.htm"
"Gaming Mice","www.alza.co.uk",24,,189,"search","https://www.alza.co.uk/gaming-mice/18857540.htm"
"Work Laptops with an Extended Warranty","www.alza.co.uk",24,,188,"search","https://www.alza.co.uk/work-laptops-with-an-extended-warranty/18867624.htm"
"Controllers","www.alza.co.uk",24,,180,"search","https://www.alza.co.uk/controllers/18849238.htm"
"Speakers for mobile devices","www.alza.co.uk",24,,180,"search","https://www.alza.co.uk/speakers-for-mobile-devices/18853701.htm"
"Speaker Cables","www.alza.co.uk",24,,170,"search","https://www.alza.co.uk/loudspeaker-cables/18849598.htm"
"Projectors","www.alza.co.uk",24,,169,"search","https://www.alza.co.uk/projectors/18843223.htm"
"New Gaming Arrivals","www.alza.co.uk",24,,166,"search","https://www.alza.co.uk/new-gaming-arrivals/18856692.htm"
"Gaming Headsets with Microphones","www.alza.co.uk",24,,162,"search","https://www.alza.co.uk/gaming-headsets/18853693.htm"
"Gaming Headsets","www.alza.co.uk",24,,162,"search","https://www.alza.co.uk/gaming-headsets/18853600.htm"
"Computers and Software","www.alza.co.uk",24,,160,"search","https://www.alza.co.uk/computers-laptops/18852653.htm"
"Computers and Software","www.alza.co.uk",24,,158,"search","https://www.alza.co.uk/18852653-v1310.htm"
"New Arrivals","www.alza.co.uk",24,,157,"search","https://www.alza.co.uk/new-arrivals/18856152.htm"
"Satellite & Digital Technology","www.alza.co.uk",24,,153,"search","https://www.alza.co.uk/satellite-digital-technology/18856832.htm"
"PC Case Cooling Fans","www.alza.co.uk",24,,151,"search","https://www.alza.co.uk/cooling/case-fans/18842848.htm"
"PC Case Cooling Fans","www.alza.co.uk",24,,151,"search","https://www.alza.co.uk/pc-case-fans/18842848.htm"
"Tablets by Series","www.alza.co.uk",24,,150,"search","https://www.alza.co.uk/tablets-by-series/18867430.htm"
"PC Tuning","www.alza.co.uk",24,,147,"search","https://www.alza.co.uk/pc-tuning/18843607.htm"
"Office Laptops with Windows 10 Pro","www.alza.co.uk",24,,146,"search","https://www.alza.co.uk/office-laptops-with-windows-10-pro/18868792.htm"
"Nintendo Switch","www.alza.co.uk",24,,142,"search","https://www.alza.co.uk/nintendo-switch/18860896.htm"
"Nintendo Switch Games","www.alza.co.uk",24,,137,"search","https://www.alza.co.uk/nintendo-switch-games/18860898.htm"
"SmartToys","www.alza.co.uk",24,,136,"search","https://www.alza.co.uk/smarttoys/18855742.htm"
"Game Figurines","www.alza.co.uk",24,,129,"search","https://www.alza.co.uk/game-figurines/18854568.htm"
"Software for Companies","www.alza.co.uk",24,,125,"search","https://www.alza.co.uk/software-for-companies/18865025.htm"
"Televisions","www.alza.co.uk",24,,123,"search","http://www.alza.co.uk/televisions/18849604.htm"
"Televisions","www.alza.co.uk",24,,123,"search","https://www.alza.co.uk/televisions/18849604.htm"
"Televisions by Screen Size","www.alza.co.uk",24,,122,"search","https://www.alza.co.uk/televisions-by-screen-size/18851371.htm"
"Playstation 4 Accessories","www.alza.co.uk",24,,120,"search","https://www.alza.co.uk/playstation-4-accessories/18854418.htm"
"Computers and Software HP","www.alza.co.uk",24,,118,"search","https://www.alza.co.uk/18852653-v1287.htm"
"Sports Headphones","www.alza.co.uk",24,,118,"search","https://www.alza.co.uk/sports-headphones/18859900.htm"
"Android Tablets","www.alza.co.uk",24,,115,"search","https://www.alza.co.uk/android-tablets/18852425.htm"
"Games on sale","www.alza.co.uk",24,,112,"search","https://www.alza.co.uk/discounted-computer-and-console-games/18862287.htm"
"Surround sound speakers","www.alza.co.uk",24,,111,"search","https://www.alza.co.uk/home-theaters/speaker-sets/surround/18851319.htm"
"Antivirus and Security Software","www.alza.co.uk",24,,110,"search","https://www.alza.co.uk/antivirus-and-security-software/18867911.htm"
"CPU Coolers","www.alza.co.uk",24,,106,"search","https://www.alza.co.uk/cpu-coolers/18842846.htm"
"Gaming Tablets","www.alza.co.uk",24,,106,"search","https://www.alza.co.uk/gaming-tablets/18855476.htm"
"Tablets with Keyboard","www.alza.co.uk",24,,104,"search","https://www.alza.co.uk/tablets-with-keyboard/18866618.htm"
"Tablets with SIM Card Slot","www.alza.co.uk",24,,102,"search","https://www.alza.co.uk/tablets-with-sim-card-slot/18866612.htm"
"Software for Schools","www.alza.co.uk",24,,102,"search","https://www.alza.co.uk/software-for-schools/18865026.htm"
"Lenovo ThinkPad Laptops","www.alza.co.uk",24,,101,"search","https://www.alza.co.uk/lenovo-thinkpad/18865479.htm"
"Xbox ONE Accessories","www.alza.co.uk",24,,96,"search","https://www.alza.co.uk/xbox-one-accessories/18854534.htm"
"Gaming Notebooks","www.alza.co.uk",24,,96,"search","https://www.alza.co.uk/gaming-notebooks/18853686.htm"
"Gaming Laptops","www.alza.co.uk",24,,96,"search","https://www.alza.co.uk/gaming-laptops/18848814.htm"
"Computer Speakers","www.alza.co.uk",24,,96,"search","https://www.alza.co.uk/reproduktory/18842883.htm"
"Computer Speakers","www.alza.co.uk",24,,96,"search","https://www.alza.co.uk/speakers/18842883.htm"
"Mirrorless Cameras","www.alza.co.uk",24,,94,"search","https://www.alza.co.uk/mirrorless-cameras/18852432.htm"
"PC Cases","www.alza.co.uk",24,,91,"search","https://www.alza.co.uk/pc-cases/18844715.htm"
"Computers and Software ASUS","www.alza.co.uk",24,,91,"search","https://www.alza.co.uk/18852653-v1284.htm"
"Manager Laptops","www.alza.co.uk",24,,90,"search","https://www.alza.co.uk/manager-laptops/18865732.htm"
"3D Projectors","www.alza.co.uk",24,,90,"search","https://www.alza.co.uk/3d-projectors/18860065.htm"
"Virtual Reality","www.alza.co.uk",24,,89,"search","https://www.alza.co.uk/virtual-reality/18856436.htm"
"SO-DIMM Laptop Memory","www.alza.co.uk",24,,89,"search","https://www.alza.co.uk/memory-for-laptops/18843127.htm"
"Professional Monitors","www.alza.co.uk",24,,89,"search","https://www.alza.co.uk/professional-monitors/18850010.htm"
"High-Tech Gaming Monitors","www.alza.co.uk",24,,86,"search","https://www.alza.co.uk/high-tech-gaming-monitors/18859174.htm"
"Windows Store","www.alza.co.uk",24,,86,"search","https://www.alza.co.uk/microsoft-store/18854881.htm"
"Nintendo Switch Accessories","www.alza.co.uk",24,,81,"search","https://www.alza.co.uk/nintendo-switch-accessories/18860897.htm"
"Micro & Mini Systems","www.alza.co.uk",24,,80,"search","https://www.alza.co.uk/micro-mini-systems/18857220.htm"
"Server Memory","www.alza.co.uk",24,,79,"search","https://www.alza.co.uk/server-memory/18852021.htm"
"Software for Home Use","www.alza.co.uk",24,,79,"search","https://www.alza.co.uk/software-for-home-use/18867411.htm"
"Accessories by activity","www.alza.co.uk",24,,79,"search","https://www.alza.co.uk/accessories-by-activity/18857126.htm"
"13"" Laptops","www.alza.co.uk",24,,78,"search","https://www.alza.co.uk/13-laptops/18865833.htm"
"Hi-Fi Headphones","www.alza.co.uk",24,,78,"search","https://www.alza.co.uk/hifi-headphones/18859899.htm"
"Fitness Bracelets","www.alza.co.uk",24,,76,"search","https://www.alza.co.uk/fitness-bracelets/18864575.htm"
"iPad","www.alza.co.uk",24,,76,"search","https://www.alza.co.uk/apple-ipad/18851916.htm"
"Graphics Software","www.alza.co.uk",24,,76,"search","https://www.alza.co.uk/graphics-software/18860419.htm"
"SmartSport","www.alza.co.uk",24,,74,"search","https://www.alza.co.uk/smartsport/18859394.htm"
"CPU - Processors","www.alza.co.uk",24,,74,"search","https://www.alza.co.uk/processors/18842843.htm"
"Processors Sorted by Number of Cores","www.alza.co.uk",24,,74,"search","https://www.alza.co.uk/processors-sorted-by-number-of-cores/18869787.htm"
"On-ear Headphones","www.alza.co.uk",24,,73,"search","https://www.alza.co.uk/on-ear-headphones/18859904.htm"
"Wifi Cables & Connectors","www.alza.co.uk",24,,73,"search","https://www.alza.co.uk/antenna-cables-and-connectors/18848959.htm"
"PC Power Supplies","www.alza.co.uk",24,,69,"search","https://www.alza.co.uk/pc-power-supplies/18844733.htm"
"Computers and Software Acer","www.alza.co.uk",24,,69,"search","https://www.alza.co.uk/18852653-v1354.htm"
"Curved Monitors","www.alza.co.uk",24,,69,"search","https://www.alza.co.uk/curved-monitors/18855757.htm"
"Laptops with Numeric Keypads","www.alza.co.uk",24,,68,"search","https://www.alza.co.uk/laptops-with-numeric-keypads/18865867.htm"
"Smart Electronics for Health & Lifestyle","www.alza.co.uk",24,,65,"search","https://www.alza.co.uk/smart-electronics-for-health-lifestyle/18855195.htm"
"Turntables","www.alza.co.uk",24,,65,"search","https://www.alza.co.uk/turntables/18851359.htm"
"Home Cinema Projectors","www.alza.co.uk",24,,65,"search","https://www.alza.co.uk/home-cinema-projectors/18860063.htm"
"Samsung Smartphones","www.alza.co.uk",24,,64,"search","https://www.alza.co.uk/samsung-smartphones/18855066.htm"
"Computers","www.alza.co.uk",24,,63,"search","https://www.alza.co.uk/computers/18842956.htm"
"Backup Power Supplies","www.alza.co.uk",24,,62,"search","https://www.alza.co.uk/zalozni-zdroje/18842926.htm"
"Rack and Server Cases","www.alza.co.uk",24,,61,"search","https://www.alza.co.uk/rack-and-server-cases/18849060.htm"
"Tablets for Students","www.alza.co.uk",24,,60,"search","https://www.alza.co.uk/tablets-for-students/18866626.htm"
"Soundbars","www.alza.co.uk",24,,60,"search","https://www.alza.co.uk/soundbars/18859827.htm"
"Drones","www.alza.co.uk",24,,58,"search","https://www.alza.co.uk/drones/18855539.htm"
"Motherboards GIGABYTE","www.alza.co.uk",24,,58,"search","https://www.alza.co.uk/zakladni-desky/gigabyte/18842832-v1378.htm"
"Alza PCs","www.alza.co.uk",24,,58,"search","https://www.alza.co.uk/alza-pcs/18845023.htm"
"Basic SIM-Free Mobile Phones","www.alza.co.uk",24,,56,"search","https://www.alza.co.uk/basic-mobile-phones/18844044.htm"
"Virtual Reality Glasses","www.alza.co.uk",24,,56,"search","https://www.alza.co.uk/virtual-reality-glasses/18859989.htm"
"Dockable Laptops","www.alza.co.uk",24,,55,"search","https://www.alza.co.uk/dockable-laptops/18856972.htm"
"Controllers and Adapters","www.alza.co.uk",24,,54,"search","https://www.alza.co.uk/controllers/18842837.htm"
"Gaming PCs","www.alza.co.uk",24,,54,"search","https://www.alza.co.uk/gaming-pcs/18848818.htm"
"4K Monitors/UHD Monitors","www.alza.co.uk",24,,54,"search","https://www.alza.co.uk/uhd-4k-monitors/18854906.htm"
"Overclocking Processors","www.alza.co.uk",24,,53,"search","https://www.alza.co.uk/overclocking-processors/18860186.htm"
"Computers and Software Lenovo","www.alza.co.uk",24,,53,"search","https://www.alza.co.uk/18852653-v1776.htm"
"3DS Games","www.alza.co.uk",24,,51,"search","https://www.alza.co.uk/18855150.htm"
"LED and LCD televisions with a diagonal of 40""-43"" (100-109 cm)","www.alza.co.uk",24,,51,"search","https://www.alza.co.uk/led-and-lcd-televisions-with-a-diagonal-of-40-43-100-109-cm/18852053.htm"
"Laptop Docking Stations and Port Replicators","www.alza.co.uk",24,,50,"search","https://www.alza.co.uk/notebooky/prislusenstvi/dokovaci-stanice/18848497.htm"
"Video Editing Programs","www.alza.co.uk",24,,50,"search","https://www.alza.co.uk/video-editing-programs/18860420.htm"
"Party Speakers","www.alza.co.uk",24,,48,"search","https://www.alza.co.uk/party-speakers/18861936.htm"
"Game Consoles","www.alza.co.uk",24,,47,"search","https://www.alza.co.uk/game-consoles/18855142.htm"
"Accessories","www.alza.co.uk",24,,47,"search","https://www.alza.co.uk/accessories/18863810.htm"
"Gaming PCs for Demanding Assembly","www.alza.co.uk",24,,47,"search","https://www.alza.co.uk/gaming-pcs-for-demanding-assembly/18857387.htm"
"Mini PCs for TV","www.alza.co.uk",24,,47,"search","https://www.alza.co.uk/mini-pcs-for-tv/18867085.htm"
"Gaming Processors","www.alza.co.uk",24,,46,"search","https://www.alza.co.uk/gaming-processors/18858043.htm"
"Children Drones","www.alza.co.uk",24,,45,"search","https://www.alza.co.uk/drones-for-kids/18857288.htm"
"Robotic animals","www.alza.co.uk",24,,45,"search","https://www.alza.co.uk/robotic-animals/18863003.htm"
"Xbox 360 Games","www.alza.co.uk",24,,44,"search","https://www.alza.co.uk/18855144.htm"
"32"" (81cm) TVs","www.alza.co.uk",24,,44,"search","https://www.alza.co.uk/32-58-cm-tvs/18862375.htm"
"Boomboxes","www.alza.co.uk",24,,43,"search","https://www.alza.co.uk/boomboxes/18851247.htm"
"Office Applications","www.alza.co.uk",24,,42,"search","https://www.alza.co.uk/office-applications/18860418.htm"
"2-in-1 Office Laptops","www.alza.co.uk",24,,41,"search","https://www.alza.co.uk/2-in-1-office-laptops/18865869.htm"
"Computers and Software Samsung","www.alza.co.uk",24,,41,"search","https://www.alza.co.uk/18852653-v1299.htm"
"AMD Processors","www.alza.co.uk",24,,40,"search","https://www.alza.co.uk/amd-processors/18843283.htm"
"Computers and Software Apple","www.alza.co.uk",24,,40,"search","https://www.alza.co.uk/18852653-v1627.htm"
"Computers and Software ALZA","www.alza.co.uk",24,,40,"search","https://www.alza.co.uk/18852653-v1835.htm"
"High End Gaming Laptops","www.alza.co.uk",24,,39,"search","https://www.alza.co.uk/high-end-gaming-laptops/18854658.htm"
"VR Ready Laptops","www.alza.co.uk",24,,39,"search","https://www.alza.co.uk/vr-ready/18859216.htm"
"Keychains","www.alza.co.uk",24,,38,"search","https://www.alza.co.uk/keychains/18867460.htm"
"Water Cooling","www.alza.co.uk",24,,38,"search","https://www.alza.co.uk/water-cooling/18845593.htm"
"Cooling Pads for Laptops","www.alza.co.uk",24,,38,"search","https://www.alza.co.uk/chlazeni-pro-notebooky/18848622.htm"
"Drone Accessories","www.alza.co.uk",24,,37,"search","https://www.alza.co.uk/drone-accessories/18855550.htm"
"Digital Video recording hard drive","www.alza.co.uk",24,,36,"search","https://www.alza.co.uk/digital-video-recording-hard-drive/18849530.htm"
"Playstation VR","www.alza.co.uk",24,,35,"search","https://www.alza.co.uk/playstation-vr/18859593.htm"
"Operating Systems","www.alza.co.uk",24,,35,"search","https://www.alza.co.uk/operating-systems/18860417.htm"
"Drones with Camera","www.alza.co.uk",24,,34,"search","https://www.alza.co.uk/drones-with-camera/18859562.htm"
"Intel Processors","www.alza.co.uk",24,,34,"search","https://www.alza.co.uk/intel-processors/18843284.htm"
"NAS Server Hard Drives","www.alza.co.uk",24,,34,"search","https://www.alza.co.uk/nas-server-hard-drives/18854642.htm"
"Smart Bathroom Scales","www.alza.co.uk",24,,33,"search","https://www.alza.co.uk/bathroom-scales/18856089.htm"
"Webcams","www.alza.co.uk",24,,33,"search","https://www.alza.co.uk/webkamery/18842885.htm"
"Outdoor Video Cameras","www.alza.co.uk",24,,33,"search","https://www.alza.co.uk/outdoor-video-cameras/18854516.htm"
"Virtual Reality Games","www.alza.co.uk",24,,32,"search","https://www.alza.co.uk/virtual-reality-games/18857747.htm"
"Robot toys","www.alza.co.uk",24,,32,"search","https://www.alza.co.uk/robots/18857287.htm"
"Server Hard Drives","www.alza.co.uk",24,,32,"search","https://www.alza.co.uk/server-hard-drives/18849516.htm"
"Alza Gaming PCs","www.alza.co.uk",24,,32,"search","https://www.alza.co.uk/alza-gaming-pcs/18859866.htm"
"SIM-Free Mobile Phones for Seniors","www.alza.co.uk",24,,31,"search","https://www.alza.co.uk/phones-for-seniors/18851246.htm"
"Hoverboards & Gyroboards","www.alza.co.uk",24,,31,"search","https://www.alza.co.uk/hoverboards/18864577.htm"
"VR Ready PCs","www.alza.co.uk",24,,31,"search","https://www.alza.co.uk/vr-ready-pcs/18859217.htm"
"Outdoor Cameras","www.alza.co.uk",24,,31,"search","https://www.alza.co.uk/outdoor-cameras/18864093.htm"
"Alza Gaming PCs","www.alza.co.uk",24,,30,"search","https://www.alza.co.uk/alza-gaming-pcs/48859866.htm"
"Alza Gaming PCs","www.alza.co.uk",24,,30,"search","https://www.alza.co.uk/alza-gaming-pc/48859866.htm"
"Racing Seats","www.alza.co.uk",24,,29,"search","https://www.alza.co.uk/racing-seats/18856127.htm"
"Smart Locators","www.alza.co.uk",24,,29,"search","https://www.alza.co.uk/smart-locators/18859228.htm"
"Processors with Integrated Graphics Cards","www.alza.co.uk",24,,29,"search","https://www.alza.co.uk/processors-with-integrated-graphics-card/18864448.htm"
"Lenovo V Series","www.alza.co.uk",24,,29,"search","https://www.alza.co.uk/lenovo-v-series/18865720.htm"
"Lenovo Yoga Laptops","www.alza.co.uk",24,,29,"search","https://www.alza.co.uk/lenovo-yoga/18865481.htm"
"eBook Readers","www.alza.co.uk",24,,29,"search","https://www.alza.co.uk/ebook-readers/18850860.htm"
"Honor Mobile Phones","www.alza.co.uk",24,,28,"search","https://www.alza.co.uk/honor-mobile-phones/18859419.htm"
"Electric Scooters","www.alza.co.uk",24,,28,"search","https://www.alza.co.uk/electric-scooters/18864579.htm"
"Optical CD & DVD Drives","www.alza.co.uk",24,,27,"search","https://www.alza.co.uk/cd-dvd/18842867.htm"
"< 29"" (74 cm) LED and LCD televisions","www.alza.co.uk",24,,27,"search","https://www.alza.co.uk/tv/led/26-66-cm/18852050.htm"
"DVD & Blu-ray Players","www.alza.co.uk",24,,27,"search","https://www.alza.co.uk/dvd-blu-ray-players/18857218.htm"
"In-Car Speakers","www.alza.co.uk",24,,27,"search","https://www.alza.co.uk/speakers-to-cars/18850238.htm"
"Virtual Reality Glasses for Mobile Phones","www.alza.co.uk",24,,27,"search","https://www.alza.co.uk/virtual-reality-glasses-for-mobile-phones/18859990.htm"
"Business PCs","www.alza.co.uk",24,,26,"search","https://www.alza.co.uk/business-pcs/18867074.htm"
"4K Ultra HD Televisions","www.alza.co.uk",24,,26,"search","https://www.alza.co.uk/4k-ultra-hd-televisions/18854702.htm"
"Camcorders","www.alza.co.uk",24,,26,"search","https://www.alza.co.uk/digital-cameras/camcorders/18846183.htm"
"Nespresso Capsule Espresso Machines","www.alza.co.uk",24,,25,"search","https://www.alza.co.uk/nespresso/18852205.htm"
"Mobile Phones DOOGEE","www.alza.co.uk",24,,25,"search","https://www.alza.co.uk/mobile-phones/doogee/18843445-v6760.htm"
"Lower Mid Priced Gaming Laptops","www.alza.co.uk",24,,25,"search","https://www.alza.co.uk/lower-mid-priced-gaming-laptops/18865599.htm"
"Computers and Software Dell","www.alza.co.uk",24,,25,"search","https://www.alza.co.uk/18852653-v1396.htm"
"Mobile Phones Sony Mobile","www.alza.co.uk",23,,23,"search","https://www.alza.co.uk/mobile-phones/sony-mobile/18843445-v4683.htm"
